,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical"
,,,North America,,"126,699,963",,"1,633,266",,"122,586,057",
,,,Asia,,"217,433,783","+3,162","1,546,556",+25,"201,147,206","+26,811"
,,,Europe,,"249,364,590",+189,"2,061,026",+4,"245,341,950","+5,581"
,,,South America,,"68,711,998",,"1,355,891",,"66,471,722",
,,,Oceania,,"14,365,175",,"28,077",,"14,188,518",+1
,,,Africa,,"12,823,522",,"258,765",,"12,085,479",
,,,,,721,,15,,706,
,,World,"689,399,752","+3,351","6,883,596",+29,"661,821,638","+32,393","20,694,518","38,120"
,1,USA,"107,085,763",,"1,164,967                                ",,"105,158,714",,"762,082","1,046"
,2,India,"44,989,744",,"531,864                                ",,"44,452,908",,"4,972",N/A
,3,France,"40,077,607",,"167,263                                ",,"39,853,927",,"56,417",869
,4,Germany,"38,426,308",,"174,247                                ",,"38,234,900",+300,"17,161",N/A
,5,Brazil,"37,579,028",,"702,664                                ",,"36,249,161",,"627,203",N/A
,6,Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,83
,7,S. Korea,"31,646,973",,"34,754                                ",,"31,296,358","+23,518","315,861",176
,8,Italy,"25,857,572",,"190,392                                ",,"25,545,397",,"121,783",75
,9,UK,"24,603,076",,"225,324                                ",,"24,363,967","+1,388","13,785",N/A
,10,Russia,"22,917,873",,"398,919                                ",,"22,346,830",,"172,124",N/A
,11,Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,
,12,Spain,"13,868,227",,"121,213                                ",,"13,697,426",,"49,588",231
,13,Vietnam,"11,609,878",+341,"43,206                                ",,"10,637,523",+187,"929,149",22
,14,Australia,"11,585,286",,"20,879                                ",,"11,526,959",,"37,448",71
,15,Taiwan,"10,239,998",,"19,005                                ",,"10,220,993",,0,
,16,Argentina,"10,054,251",,"130,509                                ",,"9,922,301",,"1,441",363
